-,-,Reference Good Slot Progression,,,,,,,,
Tier,Progression Level,1st,2nd,3rd,4th,5th,6th,7th,8th,9th
Trained,1,3,—,—,—,—,—,—,—,—
Trained,2,4,—,—,—,—,—,—,—,—
Trained,3,4,1,—,—,—,—,—,—,—
Trained,4,4,2,—,—,—,—,—,—,—
Veteran,5,5,2,1,—,—,—,—,—,—
Veteran,6,5,3,2,—,—,—,—,—,—
Veteran,7,5,3,2,1,—,—,—,—,—
Veteran,8,5,3,3,2,—,—,—,—,—
Master,9,5,4,3,2,1,—,—,—,—
Master,10,5,4,3,3,2,—,—,—,—
Master,11,5,4,4,3,2,1,—,—,—
Master,12,5,4,4,3,3,2,—,—,—
Hero,13,5,5,4,4,3,2,1,—,—
Hero,14,5,5,4,4,3,3,2,—,—
Hero,15,5,5,5,4,4,3,2,1,—
Hero,16,5,5,5,4,4,3,3,2,—
Legend,17,5,5,5,5,4,4,3,2,1
Legend,18,5,5,5,5,4,4,3,3,2
Legend,19,5,5,5,5,5,4,4,3,3
Legend,20,5,5,5,5,5,4,4,4,4
-,-,Derived Mediocre Slot Progression,,,,,,,,
Tier,Character Level,1st,2nd,3rd,4th,5th,,,,
Trained,1,3,—,—,—,—,,,,
Trained,2,3,—,—,—,—,,,,
Trained,3,4,—,—,—,—,,,,
Trained,4,4,—,—,—,—,,,,
Veteran,5,4,1,—,—,—,,,,
Veteran,6,4,1,—,—,—,,,,
Veteran,7,4,2,—,—,—,,,,
Veteran,8,4,2,—,—,—,,,,
Master,9,5,2,1,—,—,,,,
Master,10,5,2,1,—,—,,,,
Master,11,5,3,2,—,—,,,,
Master,12,5,3,2,—,—,,,,
Hero,13,5,3,2,1,—,,,,
Hero,14,5,3,2,1,—,,,,
Hero,15,5,3,3,2,—,,,,
Hero,16,5,3,3,2,—,,,,
Legend,17,5,4,3,2,1,,,,
Legend,18,5,4,3,2,1,,,,
Legend,19,5,4,3,3,2,,,,
Legend,20,5,4,3,3,2,,,,
-,-,Derived Bad Slot Progression,,,,,,,,
Tier,Character Level,1st,2nd,3rd,,,,,,
Trained,1,3,—,—,,,,,,
Trained,2,3,—,—,,,,,,
Trained,3,3,—,—,,,,,,
Trained,4,3,—,—,,,,,,
Veteran,5,4,—,—,,,,,,
Veteran,6,4,—,—,,,,,,
Veteran,7,4,—,—,,,,,,
Veteran,8,4,—,—,,,,,,
Master,9,4,1,—,,,,,,
Master,10,4,1,—,,,,,,
Master,11,4,1,—,,,,,,
Master,12,4,1,—,,,,,,
Hero,13,4,2,—,,,,,,
Hero,14,4,2,—,,,,,,
Hero,15,4,2,—,,,,,,
Hero,16,4,2,—,,,,,,
Legend,17,5,2,1,,,,,,
Legend,18,5,2,1,,,,,,
Legend,19,5,2,1,,,,,,
Legend,20,5,2,1,,,,,,
